"Note","Course","Module","Clip","Time in Clip","URL"
"rxjs solution will be to return an observable ","Getting Started with Reactive Programming Using RxJS","Working with Observables","Using flatMap to Process Inner Observables","1:36","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m2&clip=3&mode=live&start=96.604228&noteid=57de2e34-384d-4e65-9a52-dbc699e58b79"
"call some simple method on an object and get data","Specification Pattern in C#","Implementing the Specification Pattern the Naive Way","Recap: Using Plain C# Expressions","1:45","https://app.pluralsight.com/player?course=csharp-specification-pattern&author=vladimir-khorikov&name=csharp-specification-pattern-m2&clip=3&mode=live&start=105.245592&noteid=c4c0dec1-34eb-414b-b4a4-bc5f7e49f321"
"""set up an entire processing pipe line""","Getting Started with Reactive Programming Using RxJS","Working with Observables","Using flatMap to Process Inner Observables","2:11","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m2&clip=3&mode=live&start=131.611913&noteid=38d39cf4-8f34-41c8-afce-0baaadaddbf6"
"gulp.task('style' -- > to check style)","Building Web Applications with Node.js and Express 4.0","Setting Up Gulp","JSCS in Gulp","2:24","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m3&clip=3&mode=live&start=144.248838&noteid=a8eb3604-8f08-4ce0-a055-b5ebbb93ba80"
"shift + alt+ F to formate code in vscode or simple right click and format","Getting Started with Reactive Programming Using RxJS","Working with Observables","Using flatMap to Process Inner Observables","3:33","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m2&clip=3&mode=live&start=213.871165&noteid=09c1fb56-059d-4f15-953d-0d617538b298"
"3 step tcp handshake","HTTP Fundamentals","HTTP Connections","Handshakes with a Shark","3:51","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m3-connections&clip=3&mode=live&start=231.017737&noteid=91807393-278a-4d65-827b-a8ed5eb56e45"
"dont write a subscribe inside a subscribe in rxjs ..there are better way to do the same..","Getting Started with Reactive Programming Using RxJS","Working with Observables","Using flatMap to Process Inner Observables","4:08","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m2&clip=3&mode=live&start=248.960489&noteid=0349700e-87ab-4fc1-9c44-be639a4bf4ef"
"return from a task means you are returning a stream so that you can use it as a subtask in some other task","Building Web Applications with Node.js and Express 4.0","Setting Up Gulp","JSCS in Gulp","6:12","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m3&clip=3&mode=live&start=372.710993&noteid=7ff4fc58-71c6-453b-a429-6577a7bf8dd9"
"... error then exit using .break or .clear or .help  // replicate by typing > { on node terminal","Learning To Program - Part 1: Getting Started","Learning To Program - Variables and Types","Summary","0:38","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m3&clip=4&mode=live&start=38.8&noteid=d53a4890-e428-44fd-b3a7-69fc9fb47553"
"stockquote loader implements a template method design pattern","C# Programming Paradigms","Object Oriented Programming with C#","The Inheritance Check","1:05","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-oop&clip=4&mode=live&start=65.18754&noteid=4ad2ba07-636e-45e0-881f-379095f84108"
"wiredep","Building Web Applications with Node.js and Express 4.0","Setting Up Gulp","Setting up Wiredep","1:15","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m3&clip=4&mode=live&start=75.307006&noteid=06069396-e315-46f3-90fb-6fff3750b2e9"
"delegation means...using interfaces","C# Programming Paradigms","Object Oriented Programming with C#","The Inheritance Check","5:32","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-oop&clip=4&mode=live&start=332.672&noteid=a43a5144-5f16-49fe-88d2-c4558e024401"
"UI applications are good with inheritance","C# Programming Paradigms","Object Oriented Programming with C#","A Clean Interface","0:28","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-oop&clip=5&mode=live&start=28.589246&noteid=30aaaee3-1859-4ef4-b5e8-7f1be75b8109"
"Frame , Window.. etc","C# Programming Paradigms","Object Oriented Programming with C#","A Clean Interface","0:38","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-oop&clip=5&mode=live&start=38.505178&noteid=38702a65-ddcc-4b0e-b717-3a293dfcb420"
"AllowAnonymous vs Authorize","Web API v2 Security","ASP.NET Web API Security Architecture","Authorization Filter","0:34","https://app.pluralsight.com/player?course=webapi-v2-security&author=dominick-baier&name=webapi-v2-security-m3-architecture&clip=6&mode=live&start=34.482565&noteid=33eebacd-8d16-4b14-bb31-a6b0baaa1172"
"ion-nav excludes the nav controller","Ionic End to End","Introduction to Ionic","Nav Controller, Nav Params, and More","0:58","https://app.pluralsight.com/player?course=ionic-end-to-end&author=reggie-dawson&name=c061ad79-e9a8-4f97-a40e-02a37ac174e8&clip=6&mode=live&start=58.2681&noteid=5ed6ff17-25fa-485c-84ac-9b3d144e7cbc"
"persistant connection can be a vulnerability","HTTP Fundamentals","HTTP Connections","Persistent Connections","2:25","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m3-connections&clip=6&mode=live&start=145.266149&noteid=f5ff79bf-71b2-40fd-af0f-854c4b3dd682"
"difference between parser and loader..","C# Programming Paradigms","Object Oriented Programming with C#","Directional Dependencies","3:00","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-oop&clip=6&mode=live&start=180.47662&noteid=316c4880-a3e5-46a3-ba42-62f0394f3df7"
"nodemon","Building Web Applications with Node.js and Express 4.0","Setting Up Gulp","Working with Nodemon","0:11","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m3&clip=7&mode=live&start=11.120177&noteid=422f739a-b074-4edb-840c-8a746ef0723e"
"IQueryable returning from a repository is an antipattern it violates LSP","Specification Pattern in C#","Implementing the Specification Pattern the Naive Way","Summary","0:24","https://app.pluralsight.com/player?course=csharp-specification-pattern&author=vladimir-khorikov&name=csharp-specification-pattern-m2&clip=7&mode=live&start=24.42947&noteid=be5f4c31-9a1a-457a-81a9-afce521f0088"
"upgrade npm : npm i npm@latest -g","NPM Playbook","Advanced NPM","Upgrading NPM","0:53","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m2&clip=7&mode=live&start=53.78995&noteid=199fbd08-0103-4ec2-a61d-bd89a92e9362"
"promises functionality which it cannot provide. This is Liskov substituiton principle","Specification Pattern in C#","Implementing the Specification Pattern the Naive Way","Summary","2:08","https://app.pluralsight.com/player?course=csharp-specification-pattern&author=vladimir-khorikov&name=csharp-specification-pattern-m2&clip=7&mode=live&start=128.420656&noteid=8006c31b-59cb-4528-b75d-45fd9d6ef417"
"Functional programming...building abstractions using functions..","C# Programming Paradigms","Functional Programming with C#","Introduction","0:14","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-functional&clip=0&mode=live&start=14.767454&noteid=b6a7e85a-06f9-430d-8cff-ad62e10b9f08"
"collection factory methods","What's New in Java 9","Small Language and Library Improvements","Collection Factory Methods","5:31","https://app.pluralsight.com/player?course=java-9-whats-new&author=sander-mak&name=java-9-whats-new-m3&clip=0&mode=live&start=331.267742&noteid=e4d8fa42-624a-4bca-868b-26513407f574"
"abstractions are objects created from class definitions","C# Programming Paradigms","Functional Programming with C#","Prime Abstraction","0:14","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-functional&clip=1&mode=live&start=14.442135&noteid=8f432797-39eb-4bd3-aa20-a2d29a8bf60f"
"everymethod in there is a perfect abstraction or a blackbox","C# Programming Paradigms","Functional Programming with C#","Prime Abstraction","1:02","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-functional&clip=1&mode=live&start=62.75718&noteid=11edeb61-ba77-47a8-9c52-0ab701308143"
"user/.m2 will store globally jar in your current machine..this is also called local repository","Maven Fundamentals","Maven Repositories","What is a repository","2:08","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m4&clip=1&mode=live&start=128.586213&noteid=8335a2b5-69ba-4ab9-b3ac-531099ea94c3"
"stdin is by default paused .. so resume it and then everything is just readign","Introduction to Node.js","Accessing the Local System","Demo: The Process object","2:17","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m4-system&clip=1&mode=live&start=137.386695&noteid=921c625d-4f02-43c9-93c4-7589372be51b"
"creating a git retpository also","NPM Playbook","Publishing Your Own Package","Preparing Your Project for Publishing","2:37","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m3&clip=1&mode=live&start=157.409598&noteid=55e60cd5-ae9f-4558-973b-46432ad2ed52"
"ctrl + D to enD ","Introduction to Node.js","Accessing the Local System","Demo: The Process object","3:03","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m4-system&clip=1&mode=live&start=183.683919&noteid=e252d52b-fbce-48d8-86d8-ce12194bf54f"
"Denial of service attack happened in maven repository","Maven Fundamentals","Maven Repositories","What is a repository","4:25","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m4&clip=1&mode=live&start=265.774362&noteid=a90387f8-31dc-4d23-9a09-07e7df1c64b9"
"pushing to github","NPM Playbook","Publishing Your Own Package","Publishing Your Package","0:04","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m3&clip=2&mode=live&start=4.167646&noteid=ddc27250-aef7-422f-b956-5f37e719da3a"
"npm info packageName","NPM Playbook","Publishing Your Own Package","Publishing Your Package","0:34","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m3&clip=2&mode=live&start=34.832539&noteid=3a83093c-7607-464a-bd3e-8eceaf79bed4"
"npm repo packageName // will take you to github repo","NPM Playbook","Publishing Your Own Package","Publishing Your Package","0:44","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m3&clip=2&mode=live&start=44.156042&noteid=a5592b12-8329-49c8-8313-ad3741153ad8"
"FindPrime as an extension method to IEnumberable<int> good one","C# Programming Paradigms","Functional Programming with C#","A Higher Calling","1:16","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-functional&clip=2&mode=live&start=76.993759&noteid=15dea019-bccb-485e-9254-6823188db8bb"
"Function Find or (f1)  is a higher order function because it takes another function as a parameter.. so any functon wihch takes another function as parameter","C# Programming Paradigms","Functional Programming with C#","A Higher Calling","3:05","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-functional&clip=2&mode=live&start=185.283338&noteid=13b9ad25-c26e-472e-ae8d-d7fab6ef63c9"
"Find(IsOdd) Find(IsEven) Find(isPrime)","C# Programming Paradigms","Functional Programming with C#","A Higher Calling","3:33","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-functional&clip=2&mode=live&start=213.695151&noteid=234c8efa-e03b-467d-9a18-19d28309731a"
"Build pipeline is automated , release pipeline is on demand","Continuous Integration and Continuous Delivery: The Big Picture","What Is Continuous Delivery?","What Is Continuous Delivery?","5:57","https://app.pluralsight.com/player?course=continuous-integration-delivery-big-picture&author=barry-luijbregts&name=continuous-integration-delivery-big-picture-m3&clip=2&mode=live&start=357.326037&noteid=dfc17d15-c208-4350-8aa3-6a871463bd66"
"functional pgrmg allows lazy programming...","C# Programming Paradigms","Functional Programming with C#","Lazy Code","0:08","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-functional&clip=3&mode=live&start=8.339106&noteid=34cf2f2c-33ac-467e-bd09-6ef926905556"
"yield return will help to do lazy code evaluation , functinal programming","C# Programming Paradigms","Functional Programming with C#","Lazy Code","1:58","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-functional&clip=3&mode=live&start=118.926452&noteid=e9ebd09a-4114-482e-a278-9f3d7f073868"
"very good example of yield","C# Programming Paradigms","Functional Programming with C#","Lazy Code","2:51","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-functional&clip=3&mode=live&start=171.810568&noteid=06891a16-0b3d-4f0e-9415-6c9c7ad258aa"
"process.chdir --> change directory","Introduction to Node.js","Accessing the Local System","Demo: Interacting with the File System","3:17","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m4-system&clip=3&mode=live&start=197.76489&noteid=a045e209-3504-48c2-ad88-9b48b9909871"
"fs.stat--> will give you statistics of the file","Introduction to Node.js","Accessing the Local System","Demo: Interacting with the File System","3:22","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m4-system&clip=3&mode=live&start=202.706944&noteid=74809588-ba06-4e53-b2bb-13cb6de89284"
"nsp check // node security project","Building a JavaScript Development Environment","Package Management","Demo: Node Security Platform","0:41","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m3&clip=4&mode=live&start=41.523172&noteid=ebe251c4-813c-497a-b291-5c227aec7d37"
"utf-8 is the default encoding","Introduction to Node.js","Accessing the Local System","What is a Buffer?","0:51","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m4-system&clip=4&mode=live&start=51.952326&noteid=6d9a83ae-3160-4c1c-a332-f3df6934115f"
"yield return..yield return..yield return","LINQ Fundamentals with C# 6.0","LINQ Queries","Taking Advantage of Deferred Execution","4:27","https://app.pluralsight.com/player?course=linq-fundamentals-csharp-6&author=scott-allen&name=linq-fundamentals-csharp-6-m3&clip=4&mode=live&start=267.726453&noteid=f7f7597f-d54f-4c6e-b6cc-607cba60ca3f"
"proxy --> loadbalancing, ssl acceleration, ecnryption and decryption , filtering out cross site scripting,sql injection , caching..","HTTP Fundamentals","HTTP Architecture","Proxy Services","0:08","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m4-architecture&clip=5&mode=live&start=8.470766&noteid=963be944-7dbb-459d-87c7-dd557c78b7a7"
"proxy services are too good... reverse proxy","HTTP Fundamentals","HTTP Architecture","Proxy Services","1:53","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m4-architecture&clip=5&mode=live&start=113.406527&noteid=185c79cc-9cc9-488d-86dc-0d2330e95dbe"
"Fiddler intercepts request by installing a proxy.. how fiddler prxoy working is good","HTTP Fundamentals","HTTP Architecture","Proxy Services","2:08","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m4-architecture&clip=5&mode=live&start=128.31621&noteid=10d32dbc-ea3c-4832-b614-00be3c119a70"
"ctrl + L ==> will clear the node terminal","Introduction to Node.js","Accessing the Local System","The OS Module, Conclusion","0:33","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m4-system&clip=6&mode=live&start=33.539408&noteid=02ef8b54-e899-4846-b1d8-c65486404021"
"public cahce is stored in the proxy server.","HTTP Fundamentals","HTTP Architecture","Caching","0:59","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m4-architecture&clip=6&mode=live&start=59.260545&noteid=a4270ae6-1bf3-4bd7-9b9a-7c2126f4991c"
"popular product images on amazon can be cached","HTTP Fundamentals","HTTP Architecture","Caching","1:23","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m4-architecture&clip=6&mode=live&start=83.30965&noteid=43d256bf-1b9e-46cd-a73a-ab367434faf5"
"private cache is for a single user..","HTTP Fundamentals","HTTP Architecture","Caching","1:24","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m4-architecture&clip=6&mode=live&start=84.44081&noteid=8b63fc0b-1201-424f-9a04-6dde74accfe5"
"how to invalidate a cache..??","HTTP Fundamentals","HTTP Architecture","Caching","2:03","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m4-architecture&clip=6&mode=live&start=123.543146&noteid=121f5ae2-c2ed-489a-a09d-14515a26863d"
"plans always always change..","Learning To Program - Being A Better Programmer","Planning to Learn and Learning to Plan","Time Management","2:07","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m4-planning&clip=8&mode=live&start=127.627482&noteid=63d30e37-0cb1-46db-8298-6ae7d21924f4"
"C# covariance and contravariance --> works on with generic interfaces","C# Generics","Constraints, Covariance, and Contravariance","Introduction","0:16","https://app.pluralsight.com/player?course=csharp-generics&author=scott-allen&name=csharp-generics-m5-constraints&clip=0&mode=live&start=16.724972&noteid=bb39ec29-b7fe-48f4-9319-730fc0963942"
"http.request callback method will be returning a stream , which is basically a readable stream.. so you can use pipe() and other methods..","Introduction to Node.js","Interacting with the Web","Introduction, Making Web Requests in Node","2:00","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m5-web&clip=0&mode=live&start=120.275834&noteid=5f1e2770-bd67-4b71-afa6-b853bb31efdf"
"callback or you can use event also..","Introduction to Node.js","Interacting with the Web","Introduction, Making Web Requests in Node","2:21","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m5-web&clip=0&mode=live&start=141.022343&noteid=82b3cd3c-871a-4e55-9510-ad2d9cc226ee"
"substituition principle","Java Fundamentals: Generics","Wildcards","The Substitution Principle","0:26","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=1&mode=live&start=26.585084&noteid=b25f5f2b-9884-4470-817e-9a596b77d7f1"
"create a model..good example","Introduction to Mongoose for Node.js and MongoDB","Building a Model","Our First Model","0:34","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m5&clip=1&mode=live&start=34.742496&noteid=0d38fb9d-3fea-481f-8b1c-57e83b847e3e"
"var Customer=moongose.model('Customer,customerSchema)","Introduction to Mongoose for Node.js and MongoDB","Building a Model","Our First Model","2:03","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m5&clip=1&mode=live&start=123.137841&noteid=40691736-ce4a-4908-a3a3-9bfceb2deb48"
"Arrays in java are covariant","Java Fundamentals: Generics","Wildcards","The Substitution Principle","5:37","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=1&mode=live&start=337.80841&noteid=8a676564-a273-4a9c-93e1-54c7863c6efa"
"Person[] persons = parentersArr;","Java Fundamentals: Generics","Wildcards","The Substitution Principle","5:57","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=1&mode=live&start=357.822979&noteid=75b8b81b-1bdb-4149-bd7d-815da4a55d93"
"covariant arrays are unsafe.","Java Fundamentals: Generics","Wildcards","The Substitution Principle","6:06","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=1&mode=live&start=366.29672&noteid=17d69f69-c2ba-4984-b777-8413595b048a"
"List are not covariant thats why they are safe","Java Fundamentals: Generics","Wildcards","The Substitution Principle","8:28","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=1&mode=live&start=508.236256&noteid=b7f675a2-1f94-4f0d-91d4-cdff068912ba"
"you can create a webserver using the http module","Introduction to Node.js","Interacting with the Web","Building a Web Server in Node","0:09","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m5-web&clip=2&mode=live&start=9.536062&noteid=229e4203-830a-4a01-ad43-efebe93f9a1f"
"http.request previous video does not handle (redirects) as ww.pluralisht.com does a redirect internally","Introduction to Node.js","Interacting with the Web","Building a Web Server in Node","0:18","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m5-web&clip=2&mode=live&start=18.318287&noteid=5b7ccbc8-281e-40b4-959a-e5de57f507b4"
"request can be received by events also..on the server object","Introduction to Node.js","Interacting with the Web","Building a Web Server in Node","0:37","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m5-web&clip=2&mode=live&start=37.232685&noteid=0569a954-7393-4d14-a16f-5917cf5c2ae5"
"UpperBound wildcard","Java Fundamentals: Generics","Wildcards","Upper Bounded Wildcards","0:37","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=2&mode=live&start=37.535333&noteid=13590e76-9d67-443e-ab25-ecd6d2ebcc4b"
"saveAll(List<? extends Person>)","Java Fundamentals: Generics","Wildcards","Upper Bounded Wildcards","1:00","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=2&mode=live&start=60.433786&noteid=5a0d7934-dfd5-4bc6-8b98-d04441abf7b7"
"relation between schema model and document","Introduction to Mongoose for Node.js and MongoDB","Building a Model","Documents","1:18","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m5&clip=2&mode=live&start=78.754615&noteid=2bdcc9e0-1a5b-475e-9c70-26484aeddfba"
"demo setup express","Building a JavaScript Development Environment","Development Web Server","Demo: Set up Express","1:31","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m4&clip=2&mode=live&start=91.592867&noteid=e6f0de39-263b-4ee9-b16e-01ee9d43f1d1"
"respon is a writable stream and request is a readable stream","Introduction to Node.js","Interacting with the Web","Building a Web Server in Node","1:35","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m5-web&clip=2&mode=live&start=95.247653&noteid=cd1ffcf5-b833-47ee-827a-181cd6dc8341"
"Why is covariance a problems consider an array of employees assing it ot an array of persons // Person[]  list= listOfEmp, then try adding list.add(partner1); list.add(parter2)","Java Fundamentals: Generics","Wildcards","Upper Bounded Wildcards","1:36","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=2&mode=live&start=96.388388&noteid=f5b98fa8-2503-4777-b468-1405ad3bd586"
"Emp[] emps={emp1,emp2} ; Person[] persons=emps ; person.add(partner1,partern2..);","Java Fundamentals: Generics","Wildcards","Upper Bounded Wildcards","1:40","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=2&mode=live&start=100.599503&noteid=78faed38-5f23-446b-b8ee-9211176a24ed"
"bookRouter is kind of cool","Building Web Applications with Node.js and Express 4.0","Routing","Routing","2:11","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m5&clip=2&mode=live&start=131.101843&noteid=8cb6a1cf-3904-45c6-bfe1-86360a56422a"
"paliandrome with spaces.. example good","C# Programming Paradigms","Crafting C# Code","On Naming","4:17","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-craft&clip=2&mode=live&start=257.986246&noteid=9181725e-c488-46e2-8577-1808c610477b"
"UI thread should be freee... thats should not be freezen","ASP.NET MVC 4 Fundamentals","Async Await in MVC 4","Async Await","0:05","https://app.pluralsight.com/player?course=mvc4&author=scott-allen&name=mvc4-m5-async&clip=3&mode=live&start=5.245706&noteid=1fde39cf-751b-4b47-b3cc-5d36d3eb9ad4"
"alternate to aws ,azure ... showing work..localtunnel , now, surge is (static files)","Building a JavaScript Development Environment","Development Web Server","Sharing Work-in-progress","1:06","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m4&clip=3&mode=live&start=66.905173&noteid=681886f5-2ad5-4a2b-a8ca-3046b219a41a"
"createServer returns a server object and we can listen to that object","Introduction to Node.js","Interacting with the Web","Demo: Building a Web Server in Node","1:29","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m5-web&clip=3&mode=live&start=89.486792&noteid=9c3994a6-5f83-4318-94a7-59f4ed0e07a4"
"__dirname  is a variable which tells you the directory where current script is running in","Introduction to Node.js","Interacting with the Web","Demo: Building a Web Server in Node","1:55","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m5-web&clip=3&mode=live&start=115.00934&noteid=b4880ad6-4c89-41d1-810b-0247269be089"
"Builder Design pattern very good","C# Programming Paradigms","Crafting C# Code","Building Meaning","1:57","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-craft&clip=3&mode=live&start=117.26716&noteid=f70ec609-4965-4bf8-b351-437750106039"
"sleek way of adding documents with sub documents in it","Introduction to Mongoose for Node.js and MongoDB","Building a Model","Sub-Documents","2:12","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m5&clip=3&mode=live&start=132.962617&noteid=b1f7d773-6ccb-45e2-b698-e959cc57bc2c"
"adding intend if() {                                                     .............................}","Learning To Program - Part 1: Getting Started","Learning To Program - Branch And Loop","If Variations","2:48","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m5&clip=3&mode=live&start=168.503205&noteid=f30a7ebb-d598-4a28-89c4-316ede64d6a2"
"there is space after if condition","Learning To Program - Part 1: Getting Started","Learning To Program - Branch And Loop","If Variations","2:48","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m5&clip=3&mode=live&start=168.503205&noteid=2488843b-162b-411d-9ca2-bd5f414c74fb"
"streams from filestystem to response..","Introduction to Node.js","Interacting with the Web","Demo: Building a Web Server in Node","2:54","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m5-web&clip=3&mode=live&start=174.857212&noteid=11c361c3-8200-41e8-bbee-61a1e83972ee"
"async await is cooperative multi tasking.. the tread from main only entered the slowoperation method but the moment it saw 'await' it returns back to main...","ASP.NET MVC 4 Fundamentals","Async Await in MVC 4","Async Await","5:37","https://app.pluralsight.com/player?course=mvc4&author=scott-allen&name=mvc4-m5-async&clip=3&mode=live&start=337.637408&noteid=7bf1550e-3cb9-4984-bd0e-1b64b5673760"
"very good one.. cross site scripting attack and cooking stealing..","HTTP Fundamentals","HTTP Security","Tracing Sessions and HttpOnly","5:57","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m5-security&clip=3&mode=live&start=357.334771&noteid=d3341278-17a1-45db-a0b7-4b5f63117b51"
"HttpOnly flag helps to prevent cross site scripting..","HTTP Fundamentals","HTTP Security","Tracing Sessions and HttpOnly","6:14","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m5-security&clip=3&mode=live&start=374.152935&noteid=5b9b4217-a0c9-4ff5-b700-70c7ba459dab"
"httponly has to be implimented by browsers then js cannot read cookies..","HTTP Fundamentals","HTTP Security","Tracing Sessions and HttpOnly","6:17","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m5-security&clip=3&mode=live&start=377.751825&noteid=4bfd30eb-4dcb-47ba-8c0e-3130c5e8d0c3"
"covariance means there is a generic parameter that can be subclassed .","Java Fundamentals: Generics","Wildcards","Lower Bounded Wildcards","7:54","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=3&mode=live&start=474.421941&noteid=b7e34719-2515-4c45-b2d1-cbda67831a5e"
"contravariance means there is a generic parameter that can be superclassed","Java Fundamentals: Generics","Wildcards","Lower Bounded Wildcards","7:54","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=3&mode=live&start=474.421941&noteid=76555ac0-0a51-45e5-a0ec-11070cfe4317"
